Position;Sample Name;Gene Name;Cq   ;Concentration;Call    ;Excluded ;Sample Type     ;Standard;Cq Mean;Cq Error;Concentration Mean;Concentration Error;Replicate Group;Dye         ;Edited Call;Slope;EPF ;Failure             ;Notes;Sample Prep Notes;Number
A1      ;standard   ;None     ;-    ;-            ;-       ;Checked  ;Standard        ;-       ;-      ;-       ;-                 ;-                  ;A1             ;SYBR Green I;           ;-    ;-   ;                    ;     ;                 ;1
A2      ;standard   ;None     ;-    ;-            ;-       ;Checked  ;Standard        ;-       ;-      ;-       ;-                 ;-                  ;A1             ;SYBR Green I;           ;-    ;-   ;                    ;     ;                 ;2
A3      ;A4;None     ;12.8;2.83E+05;Positive;Unchecked;Unknown         ;-       ;12.8;0;2.83E+05;0.00E+00;               ;SYBR Green I;           ;1.45;4.88;None                ;     ;                 ;3
A4      ;A4;None     ;12.69;3.05E+05;Positive;Unchecked;Unknown         ;-       ;12.69;0;3.05E+05;0.00E+00;               ;SYBR Green I;           ;1.51;5.01;None                ;     ;                 ;4
A5      ;A4;None     ;12.69;3.05E+05;Positive;Unchecked;Unknown         ;-       ;12.69;0;3.05E+05;0.00E+00;               ;SYBR Green I;           ;1.4;4.76;None                ;     ;                 ;5
A6      ;A5;None     ;17.41;1.26E+04;Positive;Unchecked;Unknown         ;-       ;17.41;0;1.26E+04;0.00E+00;               ;SYBR Green I;           ;0.86;4.42;None                ;     ;                 ;6
A7      ;A5;None     ;17.33;1.34E+04;Positive;Unchecked;Unknown         ;-       ;17.33;0;1.34E+04;0.00E+00;               ;SYBR Green I;           ;0.86;4.37;None                ;     ;                 ;7
A8      ;A5;None     ;17.37;1.30E+04;Positive;Unchecked;Unknown         ;-       ;17.37;0;1.30E+04;0.00E+00;               ;SYBR Green I;           ;0.87;4.4;None                ;     ;                 ;8
A9      ;A6;None     ;11.69;5.99E+05;Positive;Unchecked;Unknown         ;-       ;11.69;0;5.99E+05;0.00E+00;               ;SYBR Green I;           ;1.38;4.67;None                ;     ;                 ;9
A10     ;A6;None     ;11.62;6.28E+05;Positive;Unchecked;Unknown         ;-       ;11.62;0;6.28E+05;0.00E+00;               ;SYBR Green I;           ;1.4;4.7;None                ;     ;                 ;10
A11     ;A6;None     ;11.76;5.72E+05;Positive;Unchecked;Unknown         ;-       ;11.76;0;5.72E+05;0.00E+00;               ;SYBR Green I;           ;1.34;4.55;None                ;     ;                 ;11
A12     ;JR1;None     ;17.2;1.46E+04;Positive;Unchecked;Unknown         ;-       ;17.2;0;1.46E+04;0.00E+00;               ;SYBR Green I;           ;0.95;4.3;None                ;     ;                 ;12
B1      ;standard   ;None     ;-    ;-            ;-       ;Checked  ;Standard        ;-       ;-      ;-       ;-                 ;-                  ;B1             ;SYBR Green I;           ;-    ;-   ;                    ;     ;                 ;13
B2      ;standard   ;None     ;-    ;-            ;-       ;Checked  ;Standard        ;-       ;-      ;-       ;-                 ;-                  ;B1             ;SYBR Green I;           ;-    ;-   ;                    ;     ;                 ;14
B3      ;B4;None     ;11.04;9.29E+05;Positive;Unchecked;Unknown         ;-       ;11.04;0;9.29E+05;0.00E+00;               ;SYBR Green I;           ;1.52;5.1;None                ;     ;                 ;15
B4      ;B4;None     ;10.95;9.87E+05;Positive;Unchecked;Unknown         ;-       ;10.95;0;9.87E+05;0.00E+00;               ;SYBR Green I;           ;1.6;5.29;None                ;     ;                 ;16
B5      ;B4;None     ;11.01;9.48E+05;Positive;Unchecked;Unknown         ;-       ;11.01;0;9.48E+05;0.00E+00;               ;SYBR Green I;           ;1.48;5.03;None                ;     ;                 ;17
B6      ;B5;None     ;17.54;1.16E+04;Positive;Unchecked;Unknown         ;-       ;17.54;0;1.16E+04;0.00E+00;               ;SYBR Green I;           ;0.79;4.3;None                ;     ;                 ;18
B7      ;B5;None     ;17.41;1.26E+04;Positive;Unchecked;Unknown         ;-       ;17.41;0;1.26E+04;0.00E+00;               ;SYBR Green I;           ;0.75;4.18;None                ;     ;                 ;19
