Position;Sample Name;Gene Name;Cq   ;Concentration;Call    ;Excluded ;Sample Type     ;Standard;Cq Mean;Cq Error;Concentration Mean;Concentration Error;Replicate Group;Dye         ;Edited Call;Slope;EPF ;Failure             ;Notes;Sample Prep Notes;Number
B8      ;B5;None     ;17.68;1.05E+04;Positive;Unchecked;Unknown         ;-       ;17.68;0;1.05E+04;0.00E+00;               ;SYBR Green I;           ;0.69;4.02;None                ;     ;                 ;20
B9      ;B6;None     ;10.88;1.04E+06;Positive;Unchecked;Unknown         ;-       ;10.88;0;1.04E+06;0.00E+00;               ;SYBR Green I;           ;1.33;4.66;None                ;     ;                 ;21
B10     ;B6;None     ;10.98;9.67E+05;Positive;Unchecked;Unknown         ;-       ;10.98;0;9.67E+05;0.00E+00;               ;SYBR Green I;           ;1.29;4.46;None                ;     ;                 ;22
B11     ;B6;None     ;11.09;8.98E+05;Positive;Unchecked;Unknown         ;-       ;11.09;0;8.98E+05;0.00E+00;               ;SYBR Green I;           ;1.16;4.21;None                ;     ;                 ;23
B12     ;JR1;None     ;17.09;1.57E+04;Positive;Unchecked;Unknown         ;-       ;17.09;0;1.57E+04;0.00E+00;               ;SYBR Green I;           ;0.97;4.4;None                ;     ;                 ;24
C1      ;standard   ;None     ;6.84;1.58E+07;Positive;Unchecked;Standard        ;2.20E+07;6.81;0.05;1.62E+07;5.40E+05;C1             ;SYBR Green I;           ;1.22;4.6;None                ;     ;                 ;25
C2      ;standard   ;None     ;6.77;1.66E+07;Positive;Unchecked;Standard        ;2.20E+07;6.81;0.05;1.62E+07;5.40E+05;C1             ;SYBR Green I;           ;1.22;4.63;None                ;     ;                 ;26
C3      ;C4;None     ;13.47;1.80E+05;Positive;Unchecked;Unknown         ;-       ;13.47;0;1.80E+05;0.00E+00;               ;SYBR Green I;           ;1.51;5.14;None                ;     ;                 ;27
C4      ;C4;None     ;13.55;1.71E+05;Positive;Unchecked;Unknown         ;-       ;13.55;0;1.71E+05;0.00E+00;               ;SYBR Green I;           ;1.57;5.19;None                ;     ;                 ;28
C5      ;C4;None     ;13.67;1.58E+05;Positive;Unchecked;Unknown         ;-       ;13.67;0;1.58E+05;0.00E+00;               ;SYBR Green I;           ;1.36;4.84;None                ;     ;                 ;29
C6      ;C5;None     ;18.12;7.83E+03;Positive;Unchecked;Unknown         ;-       ;18.12;0;7.83E+03;0.00E+00;               ;SYBR Green I;           ;0.71;4.22;None                ;     ;                 ;30
C7      ;C5;None     ;18.05;8.21E+03;Positive;Unchecked;Unknown         ;-       ;18.05;0;8.21E+03;0.00E+00;               ;SYBR Green I;           ;0.8;4.45;None                ;     ;                 ;31
C8      ;C5;None     ;18.02;8.38E+03;Positive;Unchecked;Unknown         ;-       ;18.02;0;8.38E+03;0.00E+00;               ;SYBR Green I;           ;0.81;4.5;None                ;     ;                 ;32
C9      ;C6;None     ;15.92;3.46E+04;Positive;Unchecked;Unknown         ;-       ;15.92;0;3.46E+04;0.00E+00;               ;SYBR Green I;           ;1.24;4.83;None                ;     ;                 ;33
C10     ;C6;None     ;16.26;2.75E+04;Positive;Unchecked;Unknown         ;-       ;16.26;0;2.75E+04;0.00E+00;               ;SYBR Green I;           ;1.14;4.72;None                ;     ;                 ;34
C11     ;C6;None     ;15.88;3.55E+04;Positive;Unchecked;Unknown         ;-       ;15.88;0;3.55E+04;0.00E+00;               ;SYBR Green I;           ;1.3;4.95;None                ;     ;                 ;35
C12     ;JR1;None     ;17;1.67E+04;Positive;Unchecked;Unknown         ;-       ;17;0;1.67E+04;0.00E+00;               ;SYBR Green I;           ;0.99;4.49;None                ;     ;                 ;36
D1      ;standard   ;None     ;9.03;3.61E+06;Positive;Unchecked;Standard        ;2.20E+06;9.02;0.02;3.64E+06;5.21E+04;D1             ;SYBR Green I;           ;1.59;5.26;None                ;     ;                 ;37
D2      ;standard   ;None     ;9;3.68E+06;Positive;Unchecked;Standard        ;2.20E+06;9.02;0.02;3.64E+06;5.21E+04;D1             ;SYBR Green I;           ;1.62;5.26;None                ;     ;                 ;38
D3      ;D4;None     ;14.44;9.38E+04;Positive;Unchecked;Unknown         ;-       ;14.44;0;9.38E+04;0.00E+00;               ;SYBR Green I;           ;1.43;4.93;None                ;     ;                 ;39
D4      ;D4;None     ;14.41;9.57E+04;Positive;Unchecked;Unknown         ;-       ;14.41;0;9.57E+04;0.00E+00;               ;SYBR Green I;           ;1.36;4.82;None                ;     ;                 ;40
D5      ;D4;None     ;14.57;8.59E+04;Positive;Unchecked;Unknown         ;-       ;14.57;0;8.59E+04;0.00E+00;               ;SYBR Green I;           ;1.3;4.7;None                ;     ;                 ;41
D6      ;D5;None     ;18.31;6.89E+03;Positive;Unchecked;Unknown         ;-       ;18.31;0;6.89E+03;0.00E+00;               ;SYBR Green I;           ;0.72;4.34;None                ;     ;                 ;42
D7      ;D5;None     ;18.14;7.73E+03;Positive;Unchecked;Unknown         ;-       ;18.14;0;7.73E+03;0.00E+00;               ;SYBR Green I;           ;0.72;4.32;None                ;     ;                 ;43
D8      ;D5;None     ;18.13;7.78E+03;Positive;Unchecked;Unknown         ;-       ;18.13;0;7.78E+03;0.00E+00;               ;SYBR Green I;           ;0.72;4.33;None                ;     ;                 ;44
D9      ;D6;None     ;14.99;6.47E+04;Positive;Unchecked;Unknown         ;-       ;14.99;0;6.47E+04;0.00E+00;               ;SYBR Green I;           ;1.33;4.72;None                ;     ;                 ;45
D10     ;D6;None     ;14.9;6.87E+04;Positive;Unchecked;Unknown         ;-       ;14.9;0;6.87E+04;0.00E+00;               ;SYBR Green I;           ;1.41;4.82;None                ;     ;                 ;46
D11     ;D6;None     ;14.89;6.92E+04;Positive;Unchecked;Unknown         ;-       ;14.89;0;6.92E+04;0.00E+00;               ;SYBR Green I;           ;1.44;4.88;None                ;     ;                 ;47
D12     ;TOM;None     ;-    ;-            ;Negative;Unchecked;Unknown         ;-       ;-      ;-       ;-                 ;-                  ;               ;SYBR Green I;           ;0.01;0.02;None                ;     ;                 ;48
E1      ;standard   ;None     ;13.12;2.28E+05;Positive;Unchecked;Standard        ;2.20E+05;13.3;0.25;2.04E+05;3.48E+04;E1             ;SYBR Green I;           ;1.63;5.26;None                ;     ;                 ;49
E2      ;standard   ;None     ;13.48;1.79E+05;Positive;Unchecked;Standard        ;2.20E+05;13.3;0.25;2.04E+05;3.48E+04;E1             ;SYBR Green I;           ;1.61;5.26;None                ;     ;                 ;50
E3      ;E4;None     ;13.74;1.50E+05;Positive;Unchecked;Unknown         ;-       ;13.74;0;1.50E+05;0.00E+00;               ;SYBR Green I;           ;1.38;5.23;None                ;     ;                 ;51
E4      ;E4;None     ;13.2;2.16E+05;Positive;Unchecked;Unknown         ;-       ;13.2;0;2.16E+05;0.00E+00;               ;SYBR Green I;           ;1.25;5.05;None                ;     ;                 ;52
E5      ;E4;None     ;13.41;1.88E+05;Positive;Unchecked;Unknown         ;-       ;13.41;0;1.88E+05;0.00E+00;               ;SYBR Green I;           ;1.2;4.82;None                ;     ;                 ;53
E6      ;E5;None     ;17.36;1.31E+04;Positive;Unchecked;Unknown         ;-       ;17.36;0;1.31E+04;0.00E+00;               ;SYBR Green I;           ;0.91;4.39;None                ;     ;                 ;54
E7      ;E5;None     ;16.95;1.73E+04;Positive;Unchecked;Unknown         ;-       ;16.95;0;1.73E+04;0.00E+00;               ;SYBR Green I;           ;0.96;4.44;None                ;     ;                 ;55
E8      ;E5;None     ;16.98;1.69E+04;Positive;Unchecked;Unknown         ;-       ;16.98;0;1.69E+04;0.00E+00;               ;SYBR Green I;           ;0.94;4.41;None                ;     ;                 ;56
E9      ;E6;None     ;8.36;5.66E+06;Positive;Unchecked;Unknown         ;-       ;8.36;0;5.66E+06;0.00E+00;               ;SYBR Green I;           ;0.81;3.55;None                ;     ;                 ;57
E10     ;E6;None     ;8.29;5.94E+06;Positive;Unchecked;Unknown         ;-       ;8.29;0;5.94E+06;0.00E+00;               ;SYBR Green I;           ;0.68;3.18;None                ;     ;                 ;58
E11     ;E6;None     ;8.32;5.82E+06;Positive;Unchecked;Unknown         ;-       ;8.32;0;5.82E+06;0.00E+00;               ;SYBR Green I;           ;0.76;3.42;None                ;     ;                 ;59
E12     ;TOM;None     ;-    ;-            ;Negative;Unchecked;Unknown         ;-       ;-      ;-       ;-                 ;-                  ;               ;SYBR Green I;           ;0.01;0.01;None                ;     ;                 ;60
F1      ;standard   ;None     ;16.48;2.37E+04;Positive;Unchecked;Standard        ;2.20E+04;16.76;0.39;2.00E+04;5.19E+03;F1             ;SYBR Green I;           ;1.06;4.75;None                ;     ;                 ;61
F2      ;standard   ;None     ;17.03;1.63E+04;Positive;Unchecked;Standard        ;2.20E+04;16.76;0.39;2.00E+04;5.19E+03;F1             ;SYBR Green I;           ;1;4.79;None                ;     ;                 ;62
F3      ;F4;None     ;17.77;9.92E+03;Positive;Unchecked;Unknown         ;-       ;17.77;0;9.92E+03;0.00E+00;               ;SYBR Green I;           ;0.74;4.28;None                ;     ;                 ;63
F4      ;F4;None     ;14.45;9.31E+04;Positive;Unchecked;Unknown         ;-       ;14.45;0;9.31E+04;0.00E+00;               ;SYBR Green I;           ;1.28;4.9;None                ;     ;                 ;64
F5      ;F4;None     ;14.38;9.76E+04;Positive;Unchecked;Unknown         ;-       ;14.38;0;9.76E+04;0.00E+00;               ;SYBR Green I;           ;1.2;4.7;None                ;     ;                 ;65
F6      ;F5;None     ;15.81;3.72E+04;Positive;Unchecked;Unknown         ;-       ;15.81;0;3.72E+04;0.00E+00;               ;SYBR Green I;           ;1.08;4.61;None                ;     ;                 ;66
F7      ;F5;None     ;15.71;3.98E+04;Positive;Unchecked;Unknown         ;-       ;15.71;0;3.98E+04;0.00E+00;               ;SYBR Green I;           ;1.19;4.77;None                ;     ;                 ;67
F8      ;F5;None     ;15.7;4.01E+04;Positive;Unchecked;Unknown         ;-       ;15.7;0;4.01E+04;0.00E+00;               ;SYBR Green I;           ;1.19;4.74;None                ;     ;                 ;68
F9      ;F6;None     ;8.12;6.66E+06;Positive;Unchecked;Unknown         ;-       ;8.12;0;6.66E+06;0.00E+00;               ;SYBR Green I;           ;0.69;3.28;None                ;     ;                 ;69
F10     ;F6;None     ;8.46;5.30E+06;Positive;Unchecked;Unknown         ;-       ;8.46;0;5.30E+06;0.00E+00;               ;SYBR Green I;           ;0.79;3.51;None                ;     ;                 ;70
F11     ;F6;None     ;8.17;6.44E+06;Positive;Unchecked;Unknown         ;-       ;8.17;0;6.44E+06;0.00E+00;               ;SYBR Green I;           ;0.68;3.24;None                ;     ;                 ;71
F12     ;TOM;None     ;-    ;-            ;Negative;Unchecked;Unknown         ;-       ;-      ;-       ;-                 ;-                  ;               ;SYBR Green I;           ;0.01;0.1;None                ;     ;                 ;72
G1      ;TOM;None     ;17.99;8.55E+03;Positive;Unchecked;Unknown         ;-       ;17.99;0;8.55E+03;0.00E+00;               ;SYBR Green I;           ;0.69;4.1;None                ;     ;                 ;73
G2      ;TOM;None     ;17.93;8.90E+03;Positive;Unchecked;Unknown         ;-       ;17.93;0;8.90E+03;0.00E+00;               ;SYBR Green I;           ;0.65;4.04;None                ;     ;                 ;74
G3      ;G4;None     ;13.09;2.33E+05;Positive;Unchecked;Unknown         ;-       ;13.09;0;2.33E+05;0.00E+00;               ;SYBR Green I;           ;0.58;4.05;None                ;     ;                 ;75
G4      ;G4;None     ;14.28;1.04E+05;Positive;Unchecked;Unknown         ;-       ;14.28;0;1.04E+05;0.00E+00;               ;SYBR Green I;           ;1.27;4.66;None                ;     ;                 ;76
G5      ;G4;None     ;14.27;1.05E+05;Positive;Unchecked;Unknown         ;-       ;14.27;0;1.05E+05;0.00E+00;               ;SYBR Green I;           ;1.28;4.63;None                ;     ;                 ;77
G6      ;G5;None     ;17.22;1.44E+04;Positive;Unchecked;Unknown         ;-       ;17.22;0;1.44E+04;0.00E+00;               ;SYBR Green I;           ;0.93;4.52;None                ;     ;                 ;78
G7      ;G5;None     ;17.18;1.48E+04;Positive;Unchecked;Unknown         ;-       ;17.18;0;1.48E+04;0.00E+00;               ;SYBR Green I;           ;0.87;4.38;None                ;     ;                 ;79
G8      ;G5;None     ;17.16;1.50E+04;Positive;Unchecked;Unknown         ;-       ;17.16;0;1.50E+04;0.00E+00;               ;SYBR Green I;           ;0.85;4.35;None                ;     ;                 ;80
G9      ;G6;None     ;11.25;8.06E+05;Positive;Unchecked;Unknown         ;-       ;11.25;0;8.06E+05;0.00E+00;               ;SYBR Green I;           ;1.36;4.84;None                ;     ;                 ;81
G10     ;G6;None     ;11.27;7.96E+05;Positive;Unchecked;Unknown         ;-       ;11.27;0;7.96E+05;0.00E+00;               ;SYBR Green I;           ;1.32;4.73;None                ;     ;                 ;82
G11     ;G6;None     ;11.46;7.00E+05;Positive;Unchecked;Unknown         ;-       ;11.46;0;7.00E+05;0.00E+00;               ;SYBR Green I;           ;1.12;4.37;None                ;     ;                 ;83
G12     ;TOM;None     ;-    ;-            ;Negative;Unchecked;Unknown         ;-       ;-      ;-       ;-                 ;-                  ;               ;SYBR Green I;           ;0.01;0.08;None                ;     ;                 ;84
H1      ;VAND;None     ;17.91;9.03E+03;Positive;Unchecked;Negative control;-       ;17.79;0.17;9.82E+03;1.12E+03;H1             ;SYBR Green I;           ;0.65;3.99;Neg Ctrl is positive;     ;                 ;85
H2      ;VAND;None     ;17.67;1.06E+04;Positive;Unchecked;Negative control;-       ;17.79;0.17;9.82E+03;1.12E+03;H1             ;SYBR Green I;           ;0.68;4.08;Neg Ctrl is positive;     ;                 ;86
H3      ;H4;None     ;14.03;1.24E+05;Positive;Unchecked;Unknown         ;-       ;14.03;0;1.24E+05;0.00E+00;               ;SYBR Green I;           ;1.33;4.93;None                ;     ;                 ;87
H4      ;H4;None     ;14.14;1.15E+05;Positive;Unchecked;Unknown         ;-       ;14.14;0;1.15E+05;0.00E+00;               ;SYBR Green I;           ;1.24;4.66;None                ;     ;                 ;88
H5      ;H4;None     ;14.14;1.15E+05;Positive;Unchecked;Unknown         ;-       ;14.14;0;1.15E+05;0.00E+00;               ;SYBR Green I;           ;1.3;4.76;None                ;     ;                 ;89
H6      ;H5;None     ;16.36;2.57E+04;Positive;Unchecked;Unknown         ;-       ;16.36;0;2.57E+04;0.00E+00;               ;SYBR Green I;           ;1.01;4.66;None                ;     ;                 ;90
H7      ;H5;None     ;16.53;2.29E+04;Positive;Unchecked;Unknown         ;-       ;16.53;0;2.29E+04;0.00E+00;               ;SYBR Green I;           ;0.97;4.55;None                ;     ;                 ;91
H8      ;H5;None     ;16.54;2.27E+04;Positive;Unchecked;Unknown         ;-       ;16.54;0;2.27E+04;0.00E+00;               ;SYBR Green I;           ;0.91;4.41;None                ;     ;                 ;92
H9      ;H6;None     ;9.75;2.22E+06;Positive;Unchecked;Unknown         ;-       ;9.75;0;2.22E+06;0.00E+00;               ;SYBR Green I;           ;1.12;4.33;None                ;     ;                 ;93
H10     ;H6;None     ;9.75;2.22E+06;Positive;Unchecked;Unknown         ;-       ;9.75;0;2.22E+06;0.00E+00;               ;SYBR Green I;           ;1.2;4.56;None                ;     ;                 ;94
H11     ;H6;None     ;9.71;2.28E+06;Positive;Unchecked;Unknown         ;-       ;9.71;0;2.28E+06;0.00E+00;               ;SYBR Green I;           ;1.11;4.33;None                ;     ;                 ;95
H12     ;TOM;None     ;-    ;-            ;Negative;Unchecked;Unknown         ;-       ;-      ;-       ;-                 ;-                  ;               ;SYBR Green I;           ;0.01;0.03;None                ;     ;                 ;96
