Position;Sample Name;Gene Name;Cq   ;Concentration;Call    ;Excluded ;Sample Type     ;Standard;Cq Mean;Cq Error;Concentration Mean;Concentration Error;Replicate Group;Dye         ;Edited Call;Slope;EPF ;Failure             ;Notes;Sample Prep Notes;Number
D11     ;D9;None     ;15.98;3.61E+04;Positive;Unchecked;Unknown         ;-       ;15.98;0;3.61E+04;0.00E+00;               ;SYBR Green I;           ;1.59;5.19;None                ;     ;                 ;47
D12     ;TOM;None     ;17.81;1.09E+04;Positive;Unchecked;Unknown         ;-       ;17.81;0;1.09E+04;0.00E+00;               ;SYBR Green I;           ;0.75;4.25;None                ;     ;                 ;48
E1      ;standard   ;None     ;13.31;2.06E+05;Positive;Unchecked;Standard        ;2.20E+05;13.33;0.02;2.04E+05;2.82E+03;E1             ;SYBR Green I;           ;1.61;5.29;None                ;     ;                 ;49
E2      ;standard   ;None     ;13.34;2.02E+05;Positive;Unchecked;Standard        ;2.20E+05;13.33;0.02;2.04E+05;2.82E+03;E1             ;SYBR Green I;           ;1.58;5.19;None                ;     ;                 ;50
E3      ;E7;None     ;9.07;3.27E+06;Positive;Unchecked;Unknown         ;-       ;9.07;0;3.27E+06;0.00E+00;               ;SYBR Green I;           ;1.07;4.26;None                ;     ;                 ;51
E4      ;E7;None     ;8.96;3.51E+06;Positive;Unchecked;Unknown         ;-       ;8.96;0;3.51E+06;0.00E+00;               ;SYBR Green I;           ;0.99;4.12;None                ;     ;                 ;52
E5      ;E7;None     ;8.84;3.80E+06;Positive;Unchecked;Unknown         ;-       ;8.84;0;3.80E+06;0.00E+00;               ;SYBR Green I;           ;0.82;3.85;None                ;     ;                 ;53
E6      ;E8;None     ;15.6;4.62E+04;Positive;Unchecked;Unknown         ;-       ;15.6;0;4.62E+04;0.00E+00;               ;SYBR Green I;           ;1.28;4.49;None                ;     ;                 ;54
E7      ;E8;None     ;14.12;1.21E+05;Positive;Unchecked;Unknown         ;-       ;14.12;0;1.21E+05;0.00E+00;               ;SYBR Green I;           ;1.37;4.55;None                ;     ;                 ;55
E8      ;E8;None     ;14.23;1.13E+05;Positive;Unchecked;Unknown         ;-       ;14.23;0;1.13E+05;0.00E+00;               ;SYBR Green I;           ;1.36;4.54;None                ;     ;                 ;56
E9      ;E9;None     ;14.28;1.09E+05;Positive;Unchecked;Unknown         ;-       ;14.28;0;1.09E+05;0.00E+00;               ;SYBR Green I;           ;1.45;4.9;None                ;     ;                 ;57
E10     ;E9;None     ;14.4;1.01E+05;Positive;Unchecked;Unknown         ;-       ;14.4;0;1.01E+05;0.00E+00;               ;SYBR Green I;           ;1.3;4.65;None                ;     ;                 ;58
