Position;Sample Name;Gene Name;Cq   ;Concentration;Call    ;Excluded ;Sample Type     ;Standard;Cq Mean;Cq Error;Concentration Mean;Concentration Error;Replicate Group;Dye         ;Edited Call;Slope;EPF  ;Failure             ;Notes;Sample Prep Notes;Number
G10     ;G12;None     ;19.68;3.78E+03;Positive;Unchecked;Unknown         ;-       ;19.68;0;3.78E+03;0.00E+00;               ;SYBR Green I;           ;0.82;4.48;None                ;     ;                 ;82
G11     ;G12;None     ;19.75;3.60E+03;Positive;Unchecked;Unknown         ;-       ;19.75;0;3.60E+03;0.00E+00;               ;SYBR Green I;           ;0.68;4.03;None                ;     ;                 ;83
G12     ;TOM;None     ;-    ;-            ;Negative;Unchecked;Unknown         ;-       ;-      ;-       ;-                 ;-                  ;               ;SYBR Green I;           ;0;0;None                ;     ;                 ;84
H1      ;VAND;None     ;19.51;4.22E+03;Positive;Unchecked;Negative control;-       ;19.36;0.22;4.70E+03;6.78E+02;H1             ;SYBR Green I;           ;0.82;4.46;Neg Ctrl is positive;     ;                 ;85
H2      ;VAND;None     ;19.2;5.18E+03;Positive;Unchecked;Negative control;-       ;19.36;0.22;4.70E+03;6.78E+02;H1             ;SYBR Green I;           ;0.87;4.53;Neg Ctrl is positive;     ;                 ;86
H3      ;H10;None     ;11.47;8.54E+05;Positive;Unchecked;Unknown         ;-       ;11.47;0;8.54E+05;0.00E+00;               ;SYBR Green I;           ;1.56;5.55;None                ;     ;                 ;87
H4      ;H10;None     ;11.68;7.43E+05;Positive;Unchecked;Unknown         ;-       ;11.68;0;7.43E+05;0.00E+00;               ;SYBR Green I;           ;1.46;5.39;None                ;     ;                 ;88
H5      ;H10;None     ;11.61;7.78E+05;Positive;Unchecked;Unknown         ;-       ;11.61;0;7.78E+05;0.00E+00;               ;SYBR Green I;           ;1.55;5.53;None                ;     ;                 ;89
H6      ;H11;None     ;15.3;6.81E+04;Positive;Unchecked;Unknown         ;-       ;15.3;0;6.81E+04;0.00E+00;               ;SYBR Green I;           ;1.59;5.16;None                ;     ;                 ;90
H7      ;H11;None     ;15.19;7.32E+04;Positive;Unchecked;Unknown         ;-       ;15.19;0;7.32E+04;0.00E+00;               ;SYBR Green I;           ;1.57;5.14;None                ;     ;                 ;91
H8      ;H11;None     ;15.34;6.63E+04;Positive;Unchecked;Unknown         ;-       ;15.34;0;6.63E+04;0.00E+00;               ;SYBR Green I;           ;1.5;5.03;None                ;     ;                 ;92
H9      ;H12;None     ;20.24;2.61E+03;Positive;Unchecked;Unknown         ;-       ;20.24;0;2.61E+03;0.00E+00;               ;SYBR Green I;           ;0.77;4.34;None                ;     ;                 ;93
H10     ;H12;None     ;19.79;3.51E+03;Positive;Unchecked;Unknown         ;-       ;19.79;0;3.51E+03;0.00E+00;               ;SYBR Green I;           ;0.82;4.43;None                ;     ;                 ;94
H11     ;H12;None     ;19.73;3.65E+03;Positive;Unchecked;Unknown         ;-       ;19.73;0;3.65E+03;0.00E+00;               ;SYBR Green I;           ;0.78;4.34;None                ;     ;                 ;95
H12     ;TOM;None     ;-    ;-            ;Negative;Unchecked;Unknown         ;-       ;-      ;-       ;-                 ;-                  ;               ;SYBR Green I;           ;0;0.01;None                ;     ;                 ;96
