Position;Sample Name;Gene Name;Cq   ;Concentration;Call    ;Excluded ;Sample Type     ;Standard;Cq Mean;Cq Error;Concentration Mean;Concentration Error;Replicate Group;Dye         ;Edited Call;Slope;EPF  ;Failure             ;Notes;Sample Prep Notes;Number
B8      ;B2;None     ;12.97;3.72E+05;Positive;Unchecked;Unknown         ;-       ;12.97;0;3.72E+05;0.00E+00;               ;SYBR Green I;           ;1.32;4.43;None                ;     ;                 ;20
B9      ;B3;None     ;13.32;2.99E+05;Positive;Unchecked;Unknown         ;-       ;13.32;0;2.99E+05;0.00E+00;               ;SYBR Green I;           ;1.68;5.27;None                ;     ;                 ;21
B10     ;B3;None     ;13.03;3.58E+05;Positive;Unchecked;Unknown         ;-       ;13.03;0;3.58E+05;0.00E+00;               ;SYBR Green I;           ;1.63;5.2;None                ;     ;                 ;22
B11     ;B3;None     ;13.15;3.33E+05;Positive;Unchecked;Unknown         ;-       ;13.15;0;3.33E+05;0.00E+00;               ;SYBR Green I;           ;1.44;4.91;None                ;     ;                 ;23
B12     ;TOM;None     ;-    ;-            ;Negative;Unchecked;Unknown         ;-       ;-      ;-       ;-                 ;-                  ;               ;SYBR Green I;           ;0;-0.04;None                ;     ;                 ;24
C1      ;standard   ;None     ;6.95;1.55E+07;Positive;Unchecked;Standard        ;2.20E+07;6.8;0.22;1.72E+07;2.33E+06;C1             ;SYBR Green I;           ;1.24;4.67;None                ;     ;                 ;25
C2      ;standard   ;None     ;6.64;1.88E+07;Positive;Unchecked;Standard        ;2.20E+07;6.8;0.22;1.72E+07;2.33E+06;C1             ;SYBR Green I;           ;1.16;4.52;None                ;     ;                 ;26
C3      ;C1;None     ;12.43;5.20E+05;Positive;Unchecked;Unknown         ;-       ;12.43;0;5.20E+05;0.00E+00;               ;SYBR Green I;           ;1.54;5.11;None                ;     ;                 ;27
C4      ;C1;None     ;12.37;5.40E+05;Positive;Unchecked;Unknown         ;-       ;12.37;0;5.40E+05;0.00E+00;               ;SYBR Green I;           ;1.52;5.11;None                ;     ;                 ;28
C5      ;C1;None     ;12.5;4.98E+05;Positive;Unchecked;Unknown         ;-       ;12.5;0;4.98E+05;0.00E+00;               ;SYBR Green I;           ;1.34;4.74;None                ;     ;                 ;29
C6      ;C2;None     ;12.87;3.96E+05;Positive;Unchecked;Unknown         ;-       ;12.87;0;3.96E+05;0.00E+00;               ;SYBR Green I;           ;1.23;4.59;None                ;     ;                 ;30
C7      ;C2;None     ;12.91;3.86E+05;Positive;Unchecked;Unknown         ;-       ;12.91;0;3.86E+05;0.00E+00;               ;SYBR Green I;           ;1.3;4.65;None                ;     ;                 ;31
C8      ;C2;None     ;12.96;3.74E+05;Positive;Unchecked;Unknown         ;-       ;12.96;0;3.74E+05;0.00E+00;               ;SYBR Green I;           ;1.46;4.94;None                ;     ;                 ;32
C9      ;C3;None     ;12.45;5.13E+05;Positive;Unchecked;Unknown         ;-       ;12.45;0;5.13E+05;0.00E+00;               ;SYBR Green I;           ;1.26;4.56;None                ;     ;                 ;33
C10     ;C3;None     ;12.56;4.80E+05;Positive;Unchecked;Unknown         ;-       ;12.56;0;4.80E+05;0.00E+00;               ;SYBR Green I;           ;1.18;4.39;None                ;     ;                 ;34
C11     ;C3;None     ;12.53;4.89E+05;Positive;Unchecked;Unknown         ;-       ;12.53;0;4.89E+05;0.00E+00;               ;SYBR Green I;           ;1.26;4.47;None                ;     ;                 ;35
C12     ;TOM;None     ;-    ;-            ;Negative;Unchecked;Unknown         ;-       ;-      ;-       ;-                 ;-                  ;               ;SYBR Green I;           ;0.01;0.02;None                ;     ;                 ;36
D1      ;standard   ;None     ;9.55;3.10E+06;Positive;Unchecked;Standard        ;2.20E+06;9.5;0.07;3.20E+06;1.40E+05;D1             ;SYBR Green I;           ;1.66;5.35;None                ;     ;                 ;37
D2      ;standard   ;None     ;9.45;3.30E+06;Positive;Unchecked;Standard        ;2.20E+06;9.5;0.07;3.20E+06;1.40E+05;D1             ;SYBR Green I;           ;1.73;5.47;None                ;     ;                 ;38
D3      ;D1;None     ;12.5;4.98E+05;Positive;Unchecked;Unknown         ;-       ;12.5;0;4.98E+05;0.00E+00;               ;SYBR Green I;           ;1.43;4.9;None                ;     ;                 ;39
D4      ;D1;None     ;12.58;4.74E+05;Positive;Unchecked;Unknown         ;-       ;12.58;0;4.74E+05;0.00E+00;               ;SYBR Green I;           ;1.34;4.72;None                ;     ;                 ;40
D5      ;D1;None     ;12.61;4.65E+05;Positive;Unchecked;Unknown         ;-       ;12.61;0;4.65E+05;0.00E+00;               ;SYBR Green I;           ;1.28;4.62;None                ;     ;                 ;41
D6      ;D2;None     ;14.2;1.74E+05;Positive;Unchecked;Unknown         ;-       ;14.2;0;1.74E+05;0.00E+00;               ;SYBR Green I;           ;1.52;5.1;None                ;     ;                 ;42
D7      ;D2;None     ;14.27;1.66E+05;Positive;Unchecked;Unknown         ;-       ;14.27;0;1.66E+05;0.00E+00;               ;SYBR Green I;           ;1.51;5.06;None                ;     ;                 ;43
D8      ;D2;None     ;14.2;1.74E+05;Positive;Unchecked;Unknown         ;-       ;14.2;0;1.74E+05;0.00E+00;               ;SYBR Green I;           ;1.45;5.02;None                ;     ;                 ;44
D9      ;D3;None     ;12.24;5.85E+05;Positive;Unchecked;Unknown         ;-       ;12.24;0;5.85E+05;0.00E+00;               ;SYBR Green I;           ;1.29;4.54;None                ;     ;                 ;45
D10     ;D3;None     ;12.24;5.85E+05;Positive;Unchecked;Unknown         ;-       ;12.24;0;5.85E+05;0.00E+00;               ;SYBR Green I;           ;1.29;4.51;None                ;     ;                 ;46
D11     ;D3;None     ;12.16;6.15E+05;Positive;Unchecked;Unknown         ;-       ;12.16;0;6.15E+05;0.00E+00;               ;SYBR Green I;           ;1.31;4.53;None                ;     ;                 ;47
D12     ;TOM;None     ;-    ;-            ;Negative;Unchecked;Unknown         ;-       ;-      ;-       ;-                 ;-                  ;               ;SYBR Green I;           ;0.01;0.03;None                ;     ;                 ;48
E1      ;standard   ;None     ;13.94;2.04E+05;Positive;Unchecked;Standard        ;2.20E+05;13.81;0.19;2.22E+05;2.63E+04;E1             ;SYBR Green I;           ;1.77;5.47;None                ;     ;                 ;49
E2      ;standard   ;None     ;13.67;2.41E+05;Positive;Unchecked;Standard        ;2.20E+05;13.81;0.19;2.22E+05;2.63E+04;E1             ;SYBR Green I;           ;1.79;5.5;None                ;     ;                 ;50
E3      ;E1;None     ;13.9;2.09E+05;Positive;Unchecked;Unknown         ;-       ;13.9;0;2.09E+05;0.00E+00;               ;SYBR Green I;           ;1.63;5.19;None                ;     ;                 ;51
E4      ;E1;None     ;13.91;2.08E+05;Positive;Unchecked;Unknown         ;-       ;13.91;0;2.08E+05;0.00E+00;               ;SYBR Green I;           ;1.56;5.11;None                ;     ;                 ;52
E5      ;E1;None     ;14;1.96E+05;Positive;Unchecked;Unknown         ;-       ;14;0;1.96E+05;0.00E+00;               ;SYBR Green I;           ;1.36;4.78;None                ;     ;                 ;53
E6      ;E2;None     ;12.6;4.68E+05;Positive;Unchecked;Unknown         ;-       ;12.6;0;4.68E+05;0.00E+00;               ;SYBR Green I;           ;1.29;4.71;None                ;     ;                 ;54
E7      ;E2;None     ;12.58;4.74E+05;Positive;Unchecked;Unknown         ;-       ;12.58;0;4.74E+05;0.00E+00;               ;SYBR Green I;           ;1.52;4.98;None                ;     ;                 ;55
E8      ;E2;None     ;12.52;4.92E+05;Positive;Unchecked;Unknown         ;-       ;12.52;0;4.92E+05;0.00E+00;               ;SYBR Green I;           ;1.35;4.76;None                ;     ;                 ;56
E9      ;E3;None     ;15.71;6.80E+04;Positive;Unchecked;Unknown         ;-       ;15.71;0;6.80E+04;0.00E+00;               ;SYBR Green I;           ;1.23;4.69;None                ;     ;                 ;57
E10     ;E3;None     ;15.82;6.36E+04;Positive;Unchecked;Unknown         ;-       ;15.82;0;6.36E+04;0.00E+00;               ;SYBR Green I;           ;1.1;4.34;None                ;     ;                 ;58
E11     ;E3;None     ;15.7;6.85E+04;Positive;Unchecked;Unknown         ;-       ;15.7;0;6.85E+04;0.00E+00;               ;SYBR Green I;           ;1.29;4.66;None                ;     ;                 ;59
E12     ;TOM;None     ;-    ;-            ;Negative;Unchecked;Unknown         ;-       ;-      ;-       ;-                 ;-                  ;               ;SYBR Green I;           ;0.01;0.04;None                ;     ;                 ;60
F1      ;standard   ;None     ;18.28;1.38E+04;Positive;Unchecked;Standard        ;2.20E+04;17.74;0.76;2.04E+04;9.32E+03;F1             ;SYBR Green I;           ;1.16;4.93;None                ;     ;                 ;61
F2      ;standard   ;None     ;17.2;2.70E+04;Positive;Unchecked;Standard        ;2.20E+04;17.74;0.76;2.04E+04;9.32E+03;F1             ;SYBR Green I;           ;1.42;5.17;None                ;     ;                 ;62
F3      ;F1;None     ;10.97;1.29E+06;Positive;Unchecked;Unknown         ;-       ;10.97;0;1.29E+06;0.00E+00;               ;SYBR Green I;           ;1.1;4.88;None                ;     ;                 ;63
F4      ;F1;None     ;10.97;1.29E+06;Positive;Unchecked;Unknown         ;-       ;10.97;0;1.29E+06;0.00E+00;               ;SYBR Green I;           ;1.34;4.98;None                ;     ;                 ;64
F5      ;F1;None     ;11.06;1.22E+06;Positive;Unchecked;Unknown         ;-       ;11.06;0;1.22E+06;0.00E+00;               ;SYBR Green I;           ;1.2;4.72;None                ;     ;                 ;65
F6      ;F2;None     ;8.17;7.29E+06;Positive;Unchecked;Unknown         ;-       ;8.17;0;7.29E+06;0.00E+00;               ;SYBR Green I;           ;1.02;4.28;None                ;     ;                 ;66
F7      ;F2;None     ;8.1;7.62E+06;Positive;Unchecked;Unknown         ;-       ;8.1;0;7.62E+06;0.00E+00;               ;SYBR Green I;           ;1.07;4.4;None                ;     ;                 ;67
F8      ;F2;None     ;8.15;7.38E+06;Positive;Unchecked;Unknown         ;-       ;8.15;0;7.38E+06;0.00E+00;               ;SYBR Green I;           ;1.08;4.44;None                ;     ;                 ;68
F9      ;F3;None     ;14.62;1.34E+05;Positive;Unchecked;Unknown         ;-       ;14.62;0;1.34E+05;0.00E+00;               ;SYBR Green I;           ;1.41;5.08;None                ;     ;                 ;69
F10     ;F3;None     ;14.69;1.28E+05;Positive;Unchecked;Unknown         ;-       ;14.69;0;1.28E+05;0.00E+00;               ;SYBR Green I;           ;1.31;4.79;None                ;     ;                 ;70
F11     ;F3;None     ;14.52;1.42E+05;Positive;Unchecked;Unknown         ;-       ;14.52;0;1.42E+05;0.00E+00;               ;SYBR Green I;           ;1.47;5.08;None                ;     ;                 ;71
F12     ;TOM;None     ;-    ;-            ;Negative;Unchecked;Unknown         ;-       ;-      ;-       ;-                 ;-                  ;               ;SYBR Green I;           ;0;0.03;None                ;     ;                 ;72
G1      ;TOM;None     ;19.36;7.08E+03;Positive;Unchecked;Unknown         ;-       ;19.36;0;7.08E+03;0.00E+00;               ;SYBR Green I;           ;0.78;4.28;None                ;     ;                 ;73
G2      ;TOM;None     ;19.12;8.22E+03;Positive;Unchecked;Unknown         ;-       ;19.12;0;8.22E+03;0.00E+00;               ;SYBR Green I;           ;0.7;4.06;None                ;     ;                 ;74
G3      ;G1;None     ;13.62;2.49E+05;Positive;Unchecked;Unknown         ;-       ;13.62;0;2.49E+05;0.00E+00;               ;SYBR Green I;           ;1.36;4.94;None                ;     ;                 ;75
G4      ;G1;None     ;13.64;2.46E+05;Positive;Unchecked;Unknown         ;-       ;13.64;0;2.46E+05;0.00E+00;               ;SYBR Green I;           ;1.43;5.04;None                ;     ;                 ;76
G5      ;G1;None     ;13.63;2.47E+05;Positive;Unchecked;Unknown         ;-       ;13.63;0;2.47E+05;0.00E+00;               ;SYBR Green I;           ;1.31;4.81;None                ;     ;                 ;77
G6      ;G2;None     ;17.36;2.45E+04;Positive;Unchecked;Unknown         ;-       ;17.36;0;2.45E+04;0.00E+00;               ;SYBR Green I;           ;1.1;4.54;None                ;     ;                 ;78
G7      ;G2;None     ;17.35;2.46E+04;Positive;Unchecked;Unknown         ;-       ;17.35;0;2.46E+04;0.00E+00;               ;SYBR Green I;           ;0.99;4.34;None                ;     ;                 ;79
G8      ;G2;None     ;17.48;2.27E+04;Positive;Unchecked;Unknown         ;-       ;17.48;0;2.27E+04;0.00E+00;               ;SYBR Green I;           ;1.01;4.37;None                ;     ;                 ;80
G9      ;G3;None     ;13.24;3.15E+05;Positive;Unchecked;Unknown         ;-       ;13.24;0;3.15E+05;0.00E+00;               ;SYBR Green I;           ;1.35;4.73;None                ;     ;                 ;81
G10     ;G3;None     ;12.86;3.98E+05;Positive;Unchecked;Unknown         ;-       ;12.86;0;3.98E+05;0.00E+00;               ;SYBR Green I;           ;1.23;4.53;None                ;     ;                 ;82
G11     ;G3;None     ;12.99;3.67E+05;Positive;Unchecked;Unknown         ;-       ;12.99;0;3.67E+05;0.00E+00;               ;SYBR Green I;           ;1.04;4.09;None                ;     ;                 ;83
G12     ;TOM;None     ;-    ;-            ;Negative;Unchecked;Unknown         ;-       ;-      ;-       ;-                 ;-                  ;               ;SYBR Green I;           ;0;0.07;None                ;     ;                 ;84
H1      ;VAND;None     ;19.65;5.91E+03;Positive;Unchecked;Negative control;-       ;19.5;0.21;6.52E+03;8.55E+02;H1             ;SYBR Green I;           ;0.7;4.03;Neg Ctrl is positive;     ;                 ;85
H2      ;VAND;None     ;19.35;7.12E+03;Positive;Unchecked;Negative control;-       ;19.5;0.21;6.52E+03;8.55E+02;H1             ;SYBR Green I;           ;0.75;4.19;Neg Ctrl is positive;     ;                 ;86
H3      ;H1;None     ;15.63;7.15E+04;Positive;Unchecked;Unknown         ;-       ;15.63;0;7.15E+04;0.00E+00;               ;SYBR Green I;           ;1.35;4.82;None                ;     ;                 ;87
H4      ;H1;None     ;15.71;6.80E+04;Positive;Unchecked;Unknown         ;-       ;15.71;0;6.80E+04;0.00E+00;               ;SYBR Green I;           ;1.15;4.43;None                ;     ;                 ;88
H5      ;H1;None     ;15.74;6.68E+04;Positive;Unchecked;Unknown         ;-       ;15.74;0;6.68E+04;0.00E+00;               ;SYBR Green I;           ;1.24;4.56;None                ;     ;                 ;89
H6      ;H2;None     ;17.3;2.54E+04;Positive;Unchecked;Unknown         ;-       ;17.3;0;2.54E+04;0.00E+00;               ;SYBR Green I;           ;1.12;4.62;None                ;     ;                 ;90
H7      ;H2;None     ;17.47;2.29E+04;Positive;Unchecked;Unknown         ;-       ;17.47;0;2.29E+04;0.00E+00;               ;SYBR Green I;           ;0.92;4.23;None                ;     ;                 ;91
H8      ;H2;None     ;17.46;2.30E+04;Positive;Unchecked;Unknown         ;-       ;17.46;0;2.30E+04;0.00E+00;               ;SYBR Green I;           ;1.07;4.48;None                ;     ;                 ;92
H9      ;H3;None     ;14.38;1.55E+05;Positive;Unchecked;Unknown         ;-       ;14.38;0;1.55E+05;0.00E+00;               ;SYBR Green I;           ;1.29;4.67;None                ;     ;                 ;93
H10     ;H3;None     ;14.43;1.50E+05;Positive;Unchecked;Unknown         ;-       ;14.43;0;1.50E+05;0.00E+00;               ;SYBR Green I;           ;1.29;4.69;None                ;     ;                 ;94
H11     ;H3;None     ;14.61;1.35E+05;Positive;Unchecked;Unknown         ;-       ;14.61;0;1.35E+05;0.00E+00;               ;SYBR Green I;           ;1.26;4.61;None                ;     ;                 ;95
H12     ;TOM;None     ;-    ;-            ;Negative;Unchecked;Unknown         ;-       ;-      ;-       ;-                 ;-                  ;               ;SYBR Green I;           ;0;0.01;None                ;     ;                 ;96
