Position;Sample Name;Gene Name;Cq   ;Concentration;Call    ;Excluded ;Sample Type     ;Standard;Cq Mean;Cq Error;Concentration Mean;Concentration Error;Replicate Group;Dye         ;Edited Call;Slope;EPF  ;Failure             ;Notes;Sample Prep Notes;Number
A1      ;standard   ;None     ;-    ;-            ;-       ;Checked  ;Standard        ;-       ;-      ;-       ;-                 ;-                  ;A1             ;SYBR Green I;           ;-    ;-    ;                    ;     ;                 ;1
A2      ;standard   ;None     ;-    ;-            ;-       ;Checked  ;Standard        ;-       ;-      ;-       ;-                 ;-                  ;A1             ;SYBR Green I;           ;-    ;-    ;                    ;     ;                 ;2
A3      ;A1;None     ;9.7;2.82E+06;Positive;Unchecked;Unknown         ;-       ;9.7;0;2.82E+06;0.00E+00;               ;SYBR Green I;           ;1.23;4.49;None                ;     ;                 ;3
A4      ;A1;None     ;9.16;3.95E+06;Positive;Unchecked;Unknown         ;-       ;9.16;0;3.95E+06;0.00E+00;               ;SYBR Green I;           ;0.71;3.25;None                ;     ;                 ;4
A5      ;A1;None     ;9.74;2.76E+06;Positive;Unchecked;Unknown         ;-       ;9.74;0;2.76E+06;0.00E+00;               ;SYBR Green I;           ;1.13;4.28;None                ;     ;                 ;5
A6      ;A2;None     ;13.76;2.28E+05;Positive;Unchecked;Unknown         ;-       ;13.76;0;2.28E+05;0.00E+00;               ;SYBR Green I;           ;1.66;5.22;None                ;     ;                 ;6
A7      ;A2;None     ;13.81;2.21E+05;Positive;Unchecked;Unknown         ;-       ;13.81;0;2.21E+05;0.00E+00;               ;SYBR Green I;           ;1.74;5.41;None                ;     ;                 ;7
A8      ;A2;None     ;13.81;2.21E+05;Positive;Unchecked;Unknown         ;-       ;13.81;0;2.21E+05;0.00E+00;               ;SYBR Green I;           ;1.58;5.12;None                ;     ;                 ;8
A9      ;A3;None     ;14.77;1.22E+05;Positive;Unchecked;Unknown         ;-       ;14.77;0;1.22E+05;0.00E+00;               ;SYBR Green I;           ;1.5;5.1;None                ;     ;                 ;9
A10     ;A3;None     ;14.58;1.37E+05;Positive;Unchecked;Unknown         ;-       ;14.58;0;1.37E+05;0.00E+00;               ;SYBR Green I;           ;1.6;5.13;None                ;     ;                 ;10
A11     ;A3;None     ;14.68;1.29E+05;Positive;Unchecked;Unknown         ;-       ;14.68;0;1.29E+05;0.00E+00;               ;SYBR Green I;           ;1.51;5;None                ;     ;                 ;11
A12     ;TOM;None     ;-    ;-            ;Negative;Unchecked;Unknown         ;-       ;-      ;-       ;-                 ;-                  ;               ;SYBR Green I;           ;0;0.04;None                ;     ;                 ;12
B1      ;standard   ;None     ;-    ;-            ;-       ;Checked  ;Standard        ;-       ;-      ;-       ;-                 ;-                  ;B1             ;SYBR Green I;           ;-    ;-    ;                    ;     ;                 ;13
B2      ;standard   ;None     ;-    ;-            ;-       ;Checked  ;Standard        ;-       ;-      ;-       ;-                 ;-                  ;B1             ;SYBR Green I;           ;-    ;-    ;                    ;     ;                 ;14
B3      ;B1;None     ;11.7;8.17E+05;Positive;Unchecked;Unknown         ;-       ;11.7;0;8.17E+05;0.00E+00;               ;SYBR Green I;           ;1.5;4.89;None                ;     ;                 ;15
B4      ;B1;None     ;11.62;8.59E+05;Positive;Unchecked;Unknown         ;-       ;11.62;0;8.59E+05;0.00E+00;               ;SYBR Green I;           ;1.58;5.03;None                ;     ;                 ;16
B5      ;B1;None     ;11.62;8.59E+05;Positive;Unchecked;Unknown         ;-       ;11.62;0;8.59E+05;0.00E+00;               ;SYBR Green I;           ;1.43;4.79;None                ;     ;                 ;17
B6      ;B2;None     ;12.92;3.84E+05;Positive;Unchecked;Unknown         ;-       ;12.92;0;3.84E+05;0.00E+00;               ;SYBR Green I;           ;1.39;4.57;None                ;     ;                 ;18
B7      ;B2;None     ;12.88;3.93E+05;Positive;Unchecked;Unknown         ;-       ;12.88;0;3.93E+05;0.00E+00;               ;SYBR Green I;           ;1.38;4.62;None                ;     ;                 ;19
